case:concept:name,observation,time:timestamp
1,d,1
2,d,1
4,a,5
5,a,5
3,a,5
6,a,5
2,a,5
1,a,5
7,b,6
6,c,6
4,e,6
5,c,6
5,b,6
7,c,6
7,e,6
6,e,6
5,e,6
4,c,6
3,e,6
3,c,6
3,b,6
2,e,6
2,c,6
2,b,6
4,b,6
6,b,6
7,d,7
7,f,7
8,e,7
8,f,7
8,d,7
6,d,7
6,f,7
6,e,7
7,e,7
5,d,7
5,f,7
3,e,7
3,f,7
5,e,7
4,d,7
4,f,7
4,e,7
3,d,7
9,c,8
5,c,8
6,c,8
4,c,8
8,c,8
7,c,8
5,f,9
9,d,9
10,d,9
5,d,9
9,f,9
10,f,9
7,d,9
8,f,9
7,f,9
6,d,9
6,f,9
8,d,9
13,b,14
15,b,14
14,b,14
12,b,14
10,b,14
11,b,14
11,e,15
15,c,15
15,f,15
16,c,15
16,e,15
14,f,15
14,e,15
14,c,15
16,f,15
11,f,15
15,e,15
13,f,15
13,e,15
13,c,15
11,c,15
12,f,15
12,e,15
12,c,15
17,f,16
17,d,16
15,d,16
16,d,16
16,f,16
15,f,16
14,d,16
14,f,16
13,d,16
13,f,16
12,d,16
12,f,16
18,d,17
14,d,17
15,d,17
13,d,17
16,d,17
17,d,17
19,e,18
14,e,18
17,e,18
18,e,18
15,e,18
16,e,18
18,c,20
20,c,20
21,c,20
19,c,20
16,c,20
17,c,20
17,d,21
21,d,21
20,d,21
20,f,21
20,e,21
17,e,21
22,e,21
21,e,21
22,f,21
19,f,21
19,e,21
22,d,21
17,f,21
18,d,21
18,f,21
18,e,21
19,d,21
21,f,21
22,e,22
21,e,22
23,e,22
20,e,22
19,e,22
18,e,22
20,d,23
24,d,23
23,d,23
19,d,23
22,d,23
21,d,23
24,c,24
23,c,24
25,c,24
20,c,24
21,c,24
22,c,24
25,f,25
25,e,25
25,d,25
26,e,25
26,f,25
26,d,25
24,d,25
24,f,25
24,e,25
22,f,25
21,e,25
23,d,25
23,f,25
23,e,25
21,f,25
21,d,25
22,d,25
22,e,25
26,f,27
28,b,27
26,b,27
28,f,27
27,b,27
25,b,27
24,f,27
24,b,27
23,f,27
23,b,27
25,f,27
27,f,27
28,e,28
28,f,28
29,f,28
27,f,28
29,e,28
26,f,28
26,e,28
25,f,28
25,e,28
24,f,28
27,e,28
24,e,28
39,d,38
38,d,38
37,d,38
35,d,38
34,d,38
36,d,38
37,d,41
38,d,41
39,d,41
40,d,41
42,d,41
41,d,41
41,b,43
44,b,43
43,b,43
42,b,43
39,b,43
40,b,43
40,f,44
45,e,44
45,f,44
44,d,44
44,f,44
44,e,44
40,d,44
45,d,44
43,f,44
43,d,44
42,d,44
42,f,44
42,e,44
40,e,44
41,d,44
41,f,44
41,e,44
43,e,44
42,a,46
43,a,46
45,a,46
46,a,46
44,a,46
47,a,46
46,b,47
48,b,47
47,b,47
47,c,47
47,e,47
48,c,47
48,e,47
46,e,47
45,e,47
46,c,47
45,c,47
45,b,47
43,b,47
43,c,47
43,e,47
44,e,47
44,c,47
44,b,47
45,e,48
49,d,48
48,d,48
48,f,48
48,e,48
47,d,48
47,f,48
47,e,48
44,e,48
46,d,48
46,f,48
46,e,48
44,f,48
44,d,48
45,d,48
45,f,48
49,e,48
49,f,48
51,f,51
52,f,51
49,f,51
50,f,51
48,f,51
47,f,51
48,f,52
52,d,52
52,f,52
53,d,52
48,d,52
51,d,52
51,f,52
53,f,52
49,d,52
49,f,52
50,d,52
50,f,52
54,a,53
50,b,53
52,a,53
52,b,53
49,b,53
54,b,53
51,a,53
50,a,53
53,b,53
53,a,53
49,a,53
51,b,53
53,e,54
53,f,54
53,c,54
53,b,54
55,d,54
54,b,54
54,c,54
54,e,54
54,f,54
55,b,54
55,c,54
55,e,54
55,f,54
53,d,54
54,d,54
50,b,54
50,d,54
51,e,54
50,f,54
51,c,54
51,b,54
51,d,54
52,b,54
51,f,54
52,e,54
52,f,54
52,d,54
50,c,54
50,e,54
52,c,54
55,e,55
55,d,55
54,d,55
54,f,55
54,e,55
55,f,55
52,d,55
56,e,55
56,f,55
56,d,55
53,d,55
53,f,55
53,e,55
51,d,55
52,e,55
52,f,55
51,e,55
51,f,55
56,a,56
55,a,56
57,a,56
53,a,56
54,a,56
52,a,56
58,c,57
56,c,57
56,b,57
53,b,57
53,c,57
53,e,57
58,e,57
56,e,57
58,b,57
55,e,57
55,c,57
55,b,57
54,b,57
54,c,57
54,e,57
57,b,57
57,e,57
57,c,57
57,f,58
57,d,58
57,b,58
57,e,58
59,e,58
58,e,58
58,f,58
58,d,58
59,d,58
59,f,58
58,b,58
59,b,58
56,e,58
54,f,58
54,e,58
54,b,58
56,d,58
56,f,58
55,b,58
55,e,58
55,f,58
55,d,58
56,b,58
54,d,58
59,e,59
59,f,59
58,e,59
58,f,59
60,e,59
57,f,59
57,e,59
60,f,59
56,e,59
56,f,59
55,e,59
55,f,59
59,f,60
61,f,60
61,c,60
59,c,60
56,c,60
58,f,60
58,c,60
60,c,60
57,f,60
57,c,60
56,f,60
60,f,60
61,d,61
62,f,61
62,d,61
60,d,61
60,f,61
61,f,61
59,f,61
57,f,61
57,d,61
