case:concept:name,observation,time:timestamp
1,c,1
2,c,1
3,d,2
2,d,2
1,d,2
2,f,3
3,f,3
4,a,3
4,f,3
1,f,3
2,a,3
3,a,3
1,a,3
4,b,4
4,e,4
5,b,4
3,f,4
3,e,4
3,b,4
5,e,4
5,f,4
4,f,4
2,f,4
1,b,4
1,e,4
2,e,4
2,b,4
1,f,4
2,f,5
6,c,5
5,f,5
5,c,5
6,f,5
4,c,5
4,f,5
1,c,5
1,f,5
3,f,5
3,c,5
2,c,5
4,d,6
7,d,6
3,d,6
5,d,6
2,d,6
6,d,6
8,f,7
6,f,7
7,f,7
5,f,7
3,f,7
4,f,7
6,a,9
8,a,9
10,a,9
5,a,9
9,a,9
7,a,9
10,f,10
9,b,10
10,b,10
11,b,10
11,e,10
11,f,10
9,f,10
9,e,10
10,e,10
7,b,10
6,b,10
8,f,10
8,e,10
8,b,10
6,e,10
6,f,10
7,e,10
7,f,10
12,c,11
11,c,11
10,c,11
8,c,11
9,c,11
7,c,11
13,d,12
10,d,12
12,d,12
8,d,12
9,d,12
11,d,12
13,d,13
13,f,13
12,f,13
12,d,13
12,a,13
14,a,13
14,d,13
14,f,13
13,a,13
11,d,13
9,f,13
10,a,13
11,a,13
9,a,13
9,d,13
11,f,13
10,f,13
10,d,13
13,b,14
13,e,14
15,f,14
15,e,14
15,b,14
14,b,14
14,e,14
13,f,14
14,f,14
11,e,14
10,b,14
10,f,14
12,f,14
12,e,14
12,b,14
11,b,14
10,e,14
11,f,14
15,e,15
15,c,15
15,f,15
16,e,15
14,f,15
14,c,15
14,e,15
16,c,15
12,f,15
11,f,15
16,f,15
13,f,15
13,c,15
13,e,15
12,e,15
12,c,15
11,c,15
11,e,15
12,d,16
17,d,16
15,d,16
16,d,16
13,d,16
14,d,16
13,f,17
17,d,17
18,f,17
16,f,17
16,d,17
13,d,17
17,f,17
18,d,17
15,f,17
15,d,17
14,d,17
14,f,17
14,f,18
19,f,18
18,e,18
18,f,18
14,e,18
19,e,18
17,e,18
16,f,18
16,e,18
17,f,18
15,f,18
15,e,18
23,e,22
22,e,22
21,e,22
20,e,22
19,e,22
18,e,22
25,a,26
27,a,26
27,c,26
25,c,26
24,c,26
24,a,26
23,c,26
23,a,26
22,c,26
22,a,26
26,c,26
26,a,26
28,e,27
28,d,27
27,d,27
27,e,27
26,d,27
26,e,27
26,b,27
28,b,27
27,b,27
24,d,27
23,b,27
23,e,27
25,d,27
25,e,27
25,b,27
23,d,27
24,b,27
24,e,27
29,c,28
29,f,28
27,f,28
27,c,28
25,f,28
28,f,28
24,c,28
26,f,28
26,c,28
24,f,28
25,c,28
28,c,28
29,d,29
29,f,29
30,d,29
28,f,29
30,f,29
28,d,29
25,d,29
26,d,29
25,f,29
27,f,29
27,d,29
26,f,29
31,f,30
30,f,30
29,f,30
27,f,30
28,f,30
26,f,30
29,e,32
33,e,32
31,f,32
31,e,32
33,f,32
32,f,32
30,e,32
28,e,32
28,f,32
32,e,32
29,f,32
30,f,32
34,d,33
32,d,33
33,d,33
31,d,33
30,d,33
29,d,33
32,f,34
30,f,34
33,f,34
34,f,34
31,f,34
35,f,34
39,d,38
38,d,38
38,e,38
37,d,38
37,e,38
36,d,38
39,e,38
35,d,38
35,e,38
34,d,38
34,e,38
36,e,38
36,f,39
35,f,39
37,f,39
38,f,39
39,f,39
40,f,39
42,d,44
45,d,44
43,d,44
43,a,44
45,a,44
42,a,44
44,a,44
41,d,44
41,a,44
40,d,44
40,a,44
44,d,44
46,b,45
46,f,45
45,b,45
44,f,45
44,e,45
44,b,45
45,f,45
46,e,45
45,e,45
41,e,45
43,f,45
43,e,45
43,b,45
41,f,45
42,b,45
41,b,45
42,f,45
42,e,45
46,c,46
45,c,46
43,c,46
47,c,46
44,c,46
42,c,46
47,d,47
46,d,47
43,d,47
45,d,47
48,d,47
44,d,47
45,f,48
45,e,48
49,f,48
44,f,48
46,e,48
46,f,48
49,e,48
48,f,48
44,e,48
47,e,48
47,f,48
48,e,48
48,a,49
49,a,49
