case:concept:name,observation,time:timestamp
1,a,4
5,d,4
5,b,4
5,a,4
4,d,4
4,b,4
3,d,4
3,b,4
3,a,4
4,a,4
2,d,4
2,b,4
2,a,4
1,b,4
1,d,4
2,b,5
6,f,5
5,f,5
5,b,5
5,a,5
1,a,5
2,a,5
4,b,5
4,a,5
1,b,5
4,f,5
6,b,5
2,f,5
3,a,5
3,b,5
3,f,5
1,f,5
6,a,5
2,c,6
6,c,6
5,c,6
4,c,6
3,c,6
7,c,6
8,d,7
8,e,7
8,f,7
7,c,7
6,d,7
6,e,7
6,c,7
6,f,7
7,d,7
7,e,7
7,f,7
8,c,7
4,d,7
3,e,7
3,d,7
4,f,7
4,c,7
4,e,7
3,f,7
3,c,7
5,f,7
5,c,7
5,e,7
5,d,7
9,d,8
4,d,8
8,d,8
5,d,8
6,d,8
7,d,8
9,a,9
5,d,9
8,d,9
8,a,9
5,a,9
10,d,9
7,d,9
7,a,9
9,d,9
6,d,9
6,a,9
10,a,9
11,f,11
12,f,11
7,f,11
8,f,11
9,f,11
10,f,11
12,a,12
13,a,12
11,a,12
10,a,12
8,a,12
9,a,12
13,c,13
12,c,13
12,b,13
14,b,13
13,b,13
10,b,13
11,b,13
9,b,13
9,c,13
10,c,13
11,c,13
14,c,13
14,a,14
13,c,14
13,f,14
14,f,14
14,c,14
15,c,14
13,a,14
15,f,14
15,a,14
10,a,14
12,c,14
12,f,14
12,a,14
10,f,14
10,c,14
11,a,14
11,f,14
11,c,14
15,b,15
15,f,15
14,f,15
14,b,15
16,b,15
16,f,15
13,f,15
13,b,15
11,b,15
11,f,15
12,b,15
12,f,15
15,c,16
15,f,16
15,b,16
16,b,16
16,f,16
16,c,16
17,b,16
17,c,16
17,f,16
12,f,16
13,f,16
13,c,16
12,b,16
13,b,16
14,b,16
12,c,16
14,c,16
14,f,16
18,f,17
17,d,17
17,e,17
17,f,17
18,c,17
14,e,17
16,d,17
16,e,17
16,c,17
18,e,17
18,d,17
17,c,17
14,d,17
13,f,17
14,f,17
14,c,17
13,e,17
13,c,17
15,f,17
16,f,17
15,e,17
15,c,17
15,d,17
13,d,17
18,f,18
19,f,18
16,f,18
17,f,18
14,f,18
15,f,18
18,d,19
19,d,19
20,d,19
17,d,19
16,d,19
15,d,19
17,b,20
20,b,20
16,b,20
18,b,20
21,b,20
19,b,20
21,e,21
21,c,21
20,e,21
20,c,21
22,e,21
22,c,21
18,c,21
19,e,21
19,c,21
18,e,21
17,c,21
17,e,21
19,f,22
23,d,22
23,f,22
22,d,22
22,f,22
21,f,22
19,d,22
18,f,22
20,d,22
20,f,22
18,d,22
21,d,22
29,e,28
28,e,28
27,e,28
25,e,28
24,e,28
26,e,28
26,f,29
25,f,29
27,f,29
28,f,29
29,f,29
30,f,29
26,b,30
27,b,30
28,b,30
31,b,30
30,b,30
29,b,30
32,e,31
30,e,31
31,e,31
29,e,31
28,e,31
27,e,31
33,b,33
29,b,33
32,b,33
34,b,33
30,b,33
31,b,33
31,c,34
34,e,34
33,e,34
33,c,34
35,c,34
35,e,34
30,c,34
32,c,34
34,c,34
30,e,34
31,e,34
32,e,34
35,f,35
35,d,35
36,b,35
34,d,35
36,f,35
36,e,35
36,d,35
34,e,35
34,f,35
34,b,35
35,b,35
35,e,35
31,f,35
32,e,35
32,f,35
32,b,35
32,d,35
33,b,35
31,e,35
33,e,35
33,d,35
31,b,35
31,d,35
33,f,35
35,c,36
35,f,36
37,c,36
36,f,36
37,f,36
36,c,36
34,c,36
34,f,36
32,c,36
33,f,36
33,c,36
32,f,36
37,c,37
37,d,37
38,f,37
38,c,37
36,d,37
36,c,37
36,f,37
33,f,37
38,d,37
37,f,37
33,c,37
34,f,37
33,d,37
35,d,37
35,c,37
34,d,37
34,c,37
35,f,37
39,e,38
38,f,38
37,e,38
37,f,38
34,f,38
34,e,38
38,e,38
36,e,38
36,f,38
35,f,38
35,e,38
39,f,38
38,a,39
38,f,39
39,f,39
39,a,39
40,a,39
35,a,39
37,f,39
35,f,39
36,f,39
36,a,39
40,f,39
37,a,39
40,b,40
40,f,40
41,b,40
41,f,40
41,c,40
39,c,40
39,f,40
39,b,40
40,c,40
36,b,40
38,c,40
38,f,40
38,b,40
36,f,40
36,c,40
37,c,40
37,f,40
37,b,40
42,d,41
41,d,41
40,d,41
38,d,41
37,d,41
39,d,41
40,e,42
43,e,42
42,e,42
39,e,42
41,e,42
38,e,42
43,c,43
43,f,43
42,c,43
42,f,43
44,f,43
41,c,43
41,f,43
44,c,43
39,f,43
39,c,43
40,c,43
40,f,43
42,d,44
45,d,44
40,d,44
43,d,44
44,d,44
41,d,44
45,b,45
46,b,45
44,b,45
43,b,45
42,b,45
41,b,45
43,b,46
44,b,46
42,b,46
45,b,46
46,b,46
47,b,46
50,d,49
48,d,49
46,d,49
45,d,49
47,d,49
49,d,49
51,a,51
50,d,51
49,d,51
50,a,51
51,d,51
52,a,51
48,d,51
48,a,51
47,d,51
52,d,51
47,a,51
49,a,51
48,f,52
52,b,52
52,f,52
51,f,52
51,b,52
53,b,52
49,b,52
50,f,52
50,b,52
49,f,52
48,b,52
53,f,52
53,e,53
52,e,53
54,c,53
54,e,53
52,c,53
53,c,53
51,e,53
51,c,53
49,c,53
49,e,53
50,e,53
50,c,53
51,d,54
55,d,54
55,c,54
55,f,54
54,d,54
54,f,54
53,d,54
53,c,54
53,f,54
54,c,54
50,c,54
50,f,54
52,d,54
52,c,54
52,f,54
50,d,54
51,c,54
51,f,54
56,f,55
55,f,55
54,f,55
53,f,55
52,f,55
51,f,55
60,f,60
61,f,60
59,f,60
56,f,60
57,f,60
58,f,60
64,f,63
64,a,63
63,d,63
63,f,63
63,a,63
64,d,63
62,f,63
62,d,63
62,a,63
60,d,63
61,d,63
61,f,63
61,a,63
60,f,63
60,a,63
59,d,63
59,f,63
59,a,63
61,e,65
66,e,65
66,f,65
65,e,65
65,f,65
61,f,65
64,f,65
64,e,65
63,e,65
63,f,65
62,e,65
62,f,65
63,f,66
64,f,66
62,f,66
65,f,66
66,f,66
67,f,66
69,f,70
69,c,70
70,a,70
71,f,70
70,c,70
71,a,70
69,a,70
70,f,70
68,c,70
71,c,70
67,f,70
66,a,70
66,f,70
68,a,70
67,c,70
66,c,70
