case:concept:name,observation,time:timestamp
1,c,0
4,c,3
3,c,3
3,b,3
3,a,3
4,b,3
2,c,3
2,b,3
2,a,3
4,a,3
1,b,3
1,a,3
1,c,3
2,b,4
2,d,4
4,b,4
1,d,4
5,d,4
5,b,4
1,b,4
4,d,4
3,b,4
3,d,4
4,d,5
6,c,5
4,f,5
5,f,5
5,c,5
6,f,5
4,c,5
5,d,5
6,d,5
2,f,5
1,f,5
2,d,5
2,c,5
1,c,5
1,d,5
3,c,5
3,f,5
3,d,5
4,b,6
6,b,6
2,b,6
3,b,6
5,b,6
7,b,6
6,d,7
6,c,7
6,f,7
8,f,7
7,c,7
7,f,7
8,d,7
3,f,7
7,d,7
3,c,7
8,c,7
5,f,7
5,c,7
5,d,7
4,f,7
4,c,7
4,d,7
3,d,7
5,a,8
6,a,8
4,a,8
7,a,8
9,a,8
8,a,8
5,c,9
9,c,9
7,c,9
10,c,9
6,c,9
8,c,9
13,c,12
12,c,12
11,c,12
8,c,12
10,c,12
9,c,12
11,d,14
12,d,14
15,d,14
13,d,14
10,d,14
14,d,14
16,b,15
15,b,15
14,b,15
11,b,15
13,b,15
12,b,15
13,f,16
16,c,16
17,c,16
15,f,16
15,c,16
13,c,16
12,c,16
14,f,16
14,c,16
12,f,16
17,f,16
16,f,16
17,b,17
16,b,17
18,b,17
15,b,17
14,b,17
13,b,17
16,c,18
15,c,18
14,c,18
17,c,18
18,c,18
19,c,18
17,b,21
18,b,21
20,b,21
19,b,21
21,b,21
22,b,21
22,f,22
21,f,22
22,d,22
21,d,22
20,f,22
19,f,22
23,d,22
19,d,22
18,f,22
18,d,22
23,f,22
20,d,22
22,e,23
22,f,23
24,f,23
24,e,23
20,f,23
21,e,23
21,f,23
20,e,23
23,f,23
19,e,23
19,f,23
23,e,23
24,f,24
23,f,24
25,f,24
24,d,24
25,d,24
22,f,24
22,d,24
21,f,24
21,d,24
20,f,24
20,d,24
23,d,24
24,f,28
25,f,28
26,f,28
29,f,28
27,f,28
28,f,28
29,c,29
28,c,29
30,c,29
27,c,29
26,c,29
25,c,29
27,b,31
30,b,31
32,b,31
29,b,31
31,b,31
28,b,31
31,c,32
32,f,32
32,c,32
33,f,32
31,e,32
33,e,32
33,c,32
32,e,32
31,f,32
30,e,32
28,c,32
28,e,32
29,c,32
29,f,32
29,e,32
28,f,32
30,c,32
30,f,32
31,f,33
32,f,33
30,f,33
33,f,33
34,f,33
29,f,33
37,d,37
33,d,37
34,d,37
35,d,37
38,d,37
36,d,37
39,e,38
38,e,38
37,e,38
34,e,38
36,e,38
35,e,38
39,f,39
38,f,39
38,b,39
35,b,39
40,b,39
39,b,39
36,b,39
37,f,39
37,b,39
35,f,39
36,f,39
40,f,39
40,b,40
39,f,40
39,d,40
39,b,40
40,f,40
41,b,40
41,f,40
40,d,40
41,d,40
37,b,40
37,d,40
37,f,40
36,f,40
36,d,40
36,b,40
38,d,40
38,f,40
38,b,40
41,c,41
41,d,41
40,c,41
42,d,41
42,c,41
42,f,41
40,e,41
40,f,41
41,f,41
41,e,41
38,d,41
38,c,41
37,d,41
42,e,41
39,e,41
39,f,41
39,c,41
39,d,41
37,c,41
37,f,41
37,e,41
38,e,41
38,f,41
40,d,41
43,e,43
42,c,43
43,c,43
44,c,43
40,c,43
41,c,43
44,e,43
40,e,43
42,e,43
39,e,43
39,c,43
41,e,43
43,e,44
43,d,44
44,d,44
44,e,44
42,e,44
45,d,44
41,e,44
40,d,44
40,e,44
45,e,44
41,d,44
42,d,44
42,a,45
45,a,45
45,b,45
45,f,45
45,e,45
44,e,45
44,f,45
44,b,45
44,a,45
46,a,45
46,b,45
46,e,45
43,e,45
43,f,45
43,b,45
43,a,45
41,a,45
41,b,45
41,e,45
42,e,45
42,f,45
42,b,45
46,f,45
41,f,45
47,d,46
46,d,46
45,d,46
44,d,46
42,d,46
43,d,46
46,c,47
47,e,47
46,e,47
46,d,47
43,d,47
43,c,47
47,c,47
48,d,47
43,e,47
48,e,47
45,e,47
45,c,47
45,d,47
44,d,47
44,c,47
44,e,47
48,c,47
47,d,47
48,b,48
49,b,48
49,f,48
47,f,48
47,b,48
44,b,48
46,f,48
46,b,48
48,f,48
44,f,48
45,f,48
45,b,48
49,f,49
50,d,49
50,f,49
49,d,49
48,f,49
48,d,49
47,f,49
47,d,49
46,f,49
46,d,49
45,f,49
45,d,49
48,f,52
49,f,52
50,f,52
51,f,52
52,f,52
53,f,52
56,c,56
55,c,56
54,c,56
57,c,56
53,c,56
52,c,56
53,a,57
57,d,57
56,d,57
56,a,57
58,a,57
58,d,57
53,d,57
54,a,57
55,d,57
55,a,57
54,d,57
57,a,57
59,f,58
59,b,58
57,f,58
57,b,58
58,f,58
58,b,58
54,b,58
54,f,58
56,f,58
56,b,58
55,b,58
55,f,58
59,e,59
60,d,59
58,e,59
58,d,59
55,d,59
55,e,59
60,e,59
57,e,59
57,d,59
56,d,59
56,e,59
59,d,59
60,d,60
60,e,60
59,e,60
59,d,60
56,d,60
61,d,60
56,e,60
58,e,60
57,d,60
61,e,60
57,e,60
58,d,60
61,a,61
58,a,61
59,a,61
60,a,61
62,a,61
57,a,61
61,e,62
62,b,62
62,e,62
63,e,62
61,b,62
63,b,62
59,e,62
58,e,62
60,e,62
60,b,62
58,b,62
59,b,62
64,f,63
64,c,63
64,d,63
63,f,63
63,c,63
63,d,63
62,f,63
62,c,63
62,d,63
60,f,63
59,d,63
60,c,63
59,f,63
59,c,63
61,d,63
60,d,63
61,f,63
61,c,63
63,e,64
62,e,64
61,e,64
60,e,64
64,e,64
65,e,64
66,c,67
68,c,67
65,c,67
64,c,67
63,c,67
67,c,67
68,f,68
67,f,68
69,f,68
64,f,68
66,f,68
65,f,68
66,b,69
67,b,69
65,b,69
68,b,69
69,b,69
70,b,69
66,c,70
70,c,70
71,d,70
69,c,70
69,d,70
68,c,70
66,d,70
68,d,70
67,c,70
67,d,70
71,c,70
70,d,70
71,e,71
72,e,71
70,e,71
67,e,71
69,e,71
68,e,71
69,f,72
72,f,72
71,f,72
73,f,72
70,f,72
68,f,72
70,c,73
71,c,73
72,c,73
69,c,73
73,c,73
74,c,73
71,e,75
76,e,75
72,e,75
73,e,75
74,e,75
75,e,75
78,f,77
75,f,77
73,f,77
74,f,77
76,f,77
77,f,77
77,e,78
78,e,78
79,e,78
76,e,78
74,e,78
75,e,78
78,d,79
79,d,79
76,d,79
80,d,79
77,d,79
75,d,79
77,a,80
80,a,80
78,a,80
81,a,80
79,a,80
76,a,80
82,d,81
81,d,81
81,b,81
80,b,81
82,b,81
80,d,81
77,d,81
79,d,81
79,b,81
77,b,81
78,d,81
78,b,81
83,e,82
83,d,82
82,e,82
82,d,82
79,d,82
81,e,82
79,e,82
78,d,82
81,d,82
80,d,82
80,e,82
78,e,82
82,f,83
81,f,83
79,f,83
83,f,83
84,f,83
80,f,83
81,c,85
82,c,85
83,c,85
84,c,85
85,c,85
86,c,85
88,f,89
89,f,89
87,f,89
90,f,89
86,f,89
85,f,89
87,f,90
88,f,90
89,f,90
86,f,90
90,f,90
91,f,90
94,e,93
92,e,93
91,e,93
93,e,93
90,e,93
89,e,93
93,f,94
94,f,94
94,a,94
95,a,94
95,f,94
93,a,94
92,f,94
90,a,94
91,a,94
90,f,94
92,a,94
91,f,94
94,b,97
93,b,97
95,b,97
96,b,97
98,b,97
97,b,97
99,c,98
99,d,98
98,f,98
97,c,98
98,c,98
99,f,98
98,d,98
97,f,98
95,c,98
96,f,98
96,c,98
96,d,98
95,f,98
95,d,98
94,f,98
94,c,98
94,d,98
97,d,98
102,c,102
101,c,102
100,c,102
103,c,102
99,c,102
98,c,102
103,a,103
101,a,103
104,a,103
102,a,103
99,a,103
100,a,103
105,b,104
104,d,104
105,d,104
104,b,104
103,d,104
103,b,104
101,b,104
100,b,104
102,d,104
102,b,104
100,d,104
101,d,104
105,d,105
105,e,105
104,e,105
104,d,105
101,d,105
106,d,105
106,e,105
103,e,105
103,d,105
101,e,105
102,d,105
102,e,105
106,f,106
105,f,106
107,f,106
102,f,106
104,f,106
103,f,106
108,d,107
107,c,107
106,c,107
106,d,107
103,d,107
103,c,107
108,c,107
107,d,107
105,c,107
105,d,107
104,d,107
104,c,107
109,c,108
108,e,108
107,e,108
107,c,108
107,b,108
109,b,108
108,b,108
109,e,108
108,c,108
106,e,108
104,c,108
104,e,108
104,b,108
105,c,108
105,b,108
106,b,108
106,c,108
105,e,108
105,f,109
107,f,109
108,f,109
109,f,109
106,f,109
110,f,109
113,a,113
112,d,113
114,d,113
114,a,113
112,a,113
113,d,113
111,d,113
111,a,113
109,a,113
110,d,113
109,d,113
110,a,113
111,d,114
115,d,114
115,f,114
113,f,114
114,d,114
113,d,114
112,f,114
112,d,114
110,d,114
